"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR005","DHMR006","DHMR007","DHMR008"
"Vps39",10.0334230015375,10.9971794809376,11.0182001788132,10.8963324039099,10.9964734887332,9.89935692292311,10.8525295094042,10.8517490414161
"Vps41",10.9203528554151,12.0818162781092,11.8665062122262,12.0296323280441,11.9095181142966,11.0237543532994,12.1938333325465,12.0247933847025
"Vps45",8.81378119121704,9.868822554775,9.92481250360578,9.86573327085176,9.82972273508606,8.82017896241519,9.66888498426625,9.89935692292311
"Vps4a",10.3072008091408,11.3083390301394,11.410451351504,11.3297963382207,11.3668685861671,10.4136279290242,11.1642784383012,11.3890935219045
"Vps4b",10.940313597146,11.9679467058127,11.9311068330293,11.9964734887332,12.0285967770671,11.0389189892923,12.1003338191265,12.0461008450288
"Vps51",9.34872815423108,10.4450148458684,10.4501802471648,10.2562086885274,10.3431857154479,9.2644426002266,10.18982455888,10.2455527062557
"Vps52",10.2312211807112,11.1312139050863,11.2191685204622,11.1000052244227,10.9971794809376,10.0834793273318,11.0518886559054,11.0498485494506
"Vps53",10.5430318202552,11.4938554492408,11.6156296369681,11.4361909954814,11.4382720561248,10.4635243732712,11.4387918525783,11.4701504352744
"Vps54",8.82336724004623,10.3728650601126,9.89784545600551,10.1861142395416,10.1254134704833,9.46147944728616,10.6662240028032,10.2900188469326
"Vps72",10.3297963382207,11.2737955992143,11.2685420003001,11.1667907507182,11.3342732853072,10.311748315005,11.0389189892923,11.1305705628054
"Vps8",10.1611318829843,11.3831642606351,11.2057932493972,11.1452953349336,11.3944626946103,9.97010589061218,11.1189410727235,11.1241213118292
"Vps9d1",8.4093909361377,9.33315535031062,9.24079133216196,9.16992500144231,9.17990909001493,8.25738784269265,9.16490692667569,9.07681559705083
"Vrk1",9.03342300153745,9.72280753116955,9.62388149001346,9.89330153086056,9.56224242422107,8.97727992349992,9.76983784362944,9.73470962022584
"Vrk2",7.75488750216347,8.73470962022584,8.60733031374961,8.54689445988764,8.67948009950545,8.03342300153745,8.6582114827518,8.4093909361377
"Vrk3",8.5274770060604,9.5077946401987,9.5018371849023,9.36194377373524,9.60917873814198,8.44708322620965,9.319672120947,9.2807707701306
"Vsig10",8.82972273508606,9.72451385311995,9.67419226814568,9.74483383749955,9.74651432113846,8.50382573799575,9.49185309632967,9.4898479604393
"Vsig10l",4.64385618977472,6.02236781302845,6.20945336562895,5.85798099512757,6.59991284218713,4.8073549220576,5.49185309632967,6.16992500144231
"Vta1",10.3793783670713,11.240791332162,11.1823943534045,11.2550285698187,11.2732128098543,10.3219280948874,11.2027360432502,11.1636496760158
"Vti1a",9.54689445988764,10.4262647547021,10.5381889320524,10.4314976042581,10.6220518194564,9.27844945822048,10.3923174227788,10.4040771362412
"Vti1b",10.5028318040667,11.4252159032994,11.5018371849023,11.4325419003883,11.5985178106126,10.5555477716471,11.2772874001304,11.4737057496194
"Vwa1",9.4858293087019,10.5849625007212,10.4115109880121,10.5362472156881,10.8501868376458,9.80413102118332,10.2240016741981,10.5362472156881
"Vwa5a",11.6710987257485,12.7488217946147,12.5915223465707,12.7383034114746,12.8159836266527,11.6142497276894,12.6821167649501,12.6668897084403
"Vwa8",10.3353903546939,11.3734089602287,11.4072677642447,11.3168471836025,11.3106127816595,10.1774195379892,11.3236177632916,11.3286749273279
"Vwa9",9.9614496943982,10.7202442582876,11.0119260663068,10.9008668079807,10.9001120629775,9.88874324889826,10.813781191217,10.9143851321554
"Vwf",4,5.12928301694497,5.12928301694497,4.8073549220576,5.75488750216347,4.08746284125034,4.85798099512757,4.95419631038687
"Wac",10.8618623400592,11.9443460341378,11.6064052126978,11.8955752823807,11.8556471660273,11.2137117981057,12.1851851668203,11.929258408637
